"","formula","R.sq","Q.sq","MAE","Model","dataset"
"5105","`output` ~ `Total_1` + `dip_x_2` + `cross_1` + `-25V26-`",0.712080359679471,0.625594013060603,14.9354606841099,1,"conformer_8_TraR.csv"
"9087","`output` ~ `diff_NBO_2_18` + `Total_1` + `dip_x_2` + `cross_1`",0.704681953861622,0.614869988033021,14.3489623806543,2,"conformer_8_TraR.csv"
"4812","`output` ~ `NPA_18` + `Total_1` + `cross_1` + `Dihedral(1_2_19_27)`",0.686700113963944,0.609596953556395,14.3128850493538,3,"conformer_8_TraR.csv"
"50761","`output` ~ `Total_1` + `dip_x_2` + `-2-18-` + `cross_1`",0.702279831644755,0.608284360675831,14.8092745750873,4,"conformer_8_TraR.csv"
"8060","`output` ~ `NPA_1` + `NPA_2` + `Total_1` + `cross_1`",0.70133257080449,0.60783363505979,15.3120191292236,5,"conformer_8_TraR.csv"
"7403","`output` ~ `diff_NBO_1_3` + `Total_1` + `cross_1` + `-25V26-`",0.691939560206994,0.60501978805099,15.4951179754643,6,"conformer_8_TraR.csv"
"5109","`output` ~ `Total_1` + `dip_x_2` + `cross_1` + `Dist(2, 18)`",0.698487061289551,0.603835467873397,15.0533080453154,7,"conformer_8_TraR.csv"
"7467","`output` ~ `NPA_2` + `Total_1` + `dip_x_2` + `cross_1`",0.70455617604059,0.603301131881394,15.1043209292944,8,"conformer_8_TraR.csv"
"392","`output` ~ `NPA_18` + `Total_1` + `dip_x_2` + `cross_1`",0.694431140047956,0.60038640998464,14.9015482734796,9,"conformer_8_TraR.csv"
"7109","`output` ~ `L_4_7` + `Total_1` + `cross_1` + `-25V26-`",0.692208507706704,0.598233192250782,15.9462076784144,10,"conformer_8_TraR.csv"
